symbol,name,marketCap,sector,industry,country
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,32985285678.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
ALRM,Alarm.com Holdings Inc. Common Stock,2618963664.0,Technology,Computer Software: Prepackaged Software,United States
ALSN,Allison Transmission Holdings Inc. Common Stock,9462617374.0,Consumer Discretionary,Auto Parts:O.E.M.,United States
ALV,Autoliv Inc. Common Stock,8451574842.0,Consumer Discretionary,Auto Parts:O.E.M.,Sweden
ALVO,Alvotech Ordinary Shares,2268406899.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Luxembourg
AM,Antero Midstream Corporation Common Stock,10148530120.0,Utilities,Natural Gas Distribution,United States
AMAT,Applied Materials Inc. Common Stock,376466755010.0,Technology,Semiconductors,United States
AMBA,Ambarella Inc. Ordinary Shares,2984812459.0,Technology,Semiconductors,United States
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,2659763158.0,Industrials,Containers/Packaging,
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,2561775311.0,Consumer Discretionary,Movies/Entertainment,United States
AMCR,Amcor plc Ordinary Shares,19788395532.0,Consumer Discretionary,Miscellaneous manufacturing industries,United Kingdom
AMD,Advanced Micro Devices Inc. Common Stock,1003335485564.0,Technology,Semiconductors,United States
AME,AMETEK Inc.,56501433584.0,Industrials,Industrial Machinery/Components,United States
AMG,Affiliated Managers Group Inc. Common Stock,9469131667.0,Finance,Investment Managers,United States
AMGN,Amgen Inc. Common Stock,219545250910.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,11109435668.0,Real Estate,Real Estate Investment Trusts,United States
AMKR,Amkor Technology Inc. Common Stock,13247485807.0,Technology,Semiconductors,United States
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,3839650751.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
AMP,Ameriprise Financial Inc. Common Stock,45199354864.0,Finance,Investment Managers,United States
AMR,Alpha Metallurgical Resources Inc. Common Stock,2287299718.0,Energy,Coal Mining,United States
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,6732562009.0,Health Care,Biotechnology: Pharmaceutical Preparations,United States
AMRZ,Amrize Ltd Ordinary Shares,20728481908.0,Industrials,Building Materials,Switzerland
AMT,American Tower Corporation (REIT) Common Stock,79576656997.0,Real Estate,Real Estate Investment Trusts,United States
AMTM,Amentum Holdings Inc. Common Stock,4819221400.0,Consumer Discretionary,Business Services,United States
AMZN,Amazon.com Inc. Common Stock,2688704384092.0,Consumer Discretionary,Catalog/Specialty Distribution,United States
AN,AutoNation Inc. Common Stock,5456686030.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,United States
ANDE,Andersons Inc. (The) Common Stock,2289613662.0,Industrials,Farming/Seeds/Milling,United States
ANDG,Andersen Group Inc. Class A Common Stock,6095727039.0,Consumer Discretionary,Business Services,
ANET,Arista Networks Inc. Common Stock,256621379129.0,Telecommunications,Computer Communications Equipment,United States
ANF,Abercrombie & Fitch Company Common Stock,5611946358.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States
AON,Aon plc Class A Ordinary Shares (Ireland),59734522214.0,Finance,Specialty Insurers,United States
AOS,A.O. Smith Corporation Common Stock,7847361005.0,Consumer Discretionary,Consumer Electronics/Appliances,United States
APA,APA Corporation Common Stock,15310360987.0,Energy,Oil & Gas Production,United States
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,2887808470.0,Finance,Investment Managers,United States
APD,Air Products and Chemicals Inc. Common Stock,63904066544.0,Basic Materials,Major Chemicals,United States
APG,APi Group Corporation Common Stock,16344302433.0,Consumer Discretionary,Diversified Commercial Services,United States
APH,Amphenol Corporation Common Stock,202677820662.0,Technology,Electrical Products,United States
APLD,Applied Digital Corporation Common Stock,7936703920.0,Technology,EDP Services,United States
APLE,Apple Hospitality REIT Inc. Common Shares,3737189109.0,Real Estate,Real Estate Investment Trusts,United States
APO,Apollo Global Management Inc. (New) Common Stock,73439947253.0,Finance,Investment Managers,United States
APP,Applovin Corporation Class A Common Stock,105498727750.0,Technology,Computer Software: Programming Data Processing,United States
APPF,AppFolio Inc. Class A Common Stock,7437922490.0,Technology,Computer Software: Prepackaged Software,United States
APPN,Appian Corporation Class A Common Stock,2718983582.0,Technology,Computer Software: Prepackaged Software,United States
APTV,Aptiv PLC Ordinary Shares,9378797561.0,Consumer Discretionary,Auto Parts:O.E.M.,United Kingdom
AQN,Algonquin Power & Utilities Corp. Common Shares,3894923281.0,Utilities,Electric Utilities: Central,United States
